shop_name,latitude,longitude,shop,houses_nearby,total_floats
Санкт-Петербург 2-я линия Васильевского островад. 41,30.283681,59.944936,Дикси,122,3225.0
Санкт-Петербург аллея Евгения Шварцад. 12кор. 1,30.457263,60.035504,Дикси,13,2504.0
Санкт-Петербург б-р Конногвардейскийд. 6,30.294865,59.931842,Дикси,41,930.0
Санкт-Петербург дорога Муринскаяд. 74кор. 1,30.454245,60.033989,Дикси,23,4833.0
Санкт-Петербург наб. Канала Грибоедовад. 97,30.301657,59.92727,Дикси,33,1035.0
Санкт-Петербург наб. Макаровад. 28,30.280897,59.948374,Дикси,52,1343.0
Санкт-Петербург наб. Морскаяд. 17кор. 3ЛИТ А,30.20993,59.943021,Дикси,14,2789.0
Санкт-Петербург наб. Обводного каналад. 124/2,30.296366,59.908457,Дикси,10,1072.0
Санкт-Петербург наб. Обводного каналад. 219-221А,30.27477,59.909617,Дикси,19,1720.0
Санкт-Петербург наб. Октябрьскаяд. 124кор. 7,30.505089,59.86172,Дикси,15,4039.0
Санкт-Петербург наб. Реки Фонтанкид. 32/1,30.344372,59.937648,Дикси,46,1081.0
Санкт-Петербург наб. Реки Фонтанкид. 77,30.327393,59.925854,Дикси,73,2251.0
Санкт-Петербург наб. Реки Фонтанкид. 82/1,30.33202,59.926467,Дикси,58,1819.0
Санкт-Петербург пер. Басковд. 33,30.361449,59.939316,Дикси,151,3595.0
Санкт-Петербург пер. Гривцовад. 9,30.314817,59.929145,Дикси,102,3215.0
Санкт-Петербург пер. Калужскийд. 7,30.38078,59.946013,Дикси,46,1740.0
Санкт-Петербург пер. Перекупнойд. 4,30.376244,59.927757,Дикси,115,3989.0
Санкт-Петербург пер. Свечнойд. 27,30.355178,59.923662,Дикси,94,2673.0
Санкт-Петербург пер. Столярныйд. 10-12,30.312086,59.927455,Дикси,79,2599.0
Санкт-Петербург пер. Фонарныйд. 8,30.305223,59.928916,Дикси,78,2305.0
Санкт-Петербург пл. Сытнинскаяд. 4,30.310047,59.957016,Дикси,38,1368.0
Санкт-Петербург пр-д. 1-й Предпортовыйд. 11лит. А,30.301549,59.843711,Дикси,7,2016.0
Санкт-Петербург пр-д. Комендантскийд. 59,30.231031,60.033585,Дикси,11,4922.0
Санкт-Петербург пр-т Металлистовд. 117,30.386754,59.97599,Дикси,8,2019.0
Санкт-Петербург пр-т Наставниковд. 8кор. 2,30.48662,59.938951,Дикси,23,3932.0
Санкт-Петербург пр-т. Авиаконструкторовд. 7,30.246276,60.011329,Дикси,14,4969.0
