Адрес,Год постройки,Этажей,Квартир,Ссылка,latitude,longitude,Магазинов по близости,Дикси,Магнит,Пятёрочка,Перекрёсток,Лента,Вкустер,Верный
 пр-кт Испытателей 33 , 1999,15,194, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1195557,30.264458,60.00832,7,True,True,True,True,True,False,True
 пр-кт 1-й Муринский 29/20 , 1961,5,95, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1166864,30.346573,59.989256,1,True,False,False,False,False,False,False
 1-й Предпортовый проезд 14 , 2015,19,752, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1188740,30.306355,59.842269,3,True,True,False,False,False,False,False
 1-й Предпортовый проезд 15 Строение 1, 2021,19,846, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1194763,30.303615,59.841934,3,True,True,False,False,False,False,False
 1-й Рабфаковский пер. 2 , 1958,5,61, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/281661,30.472409,59.858543,2,False,True,False,False,False,False,False
 1-й Рабфаковский пер. 3 , 2009,19,477, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1155349,30.470657,59.857585,2,False,True,False,False,False,False,False
 1-й Рабфаковский пер. 4 , 1960,5,72, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/281662,30.47328,59.858168,2,False,True,False,False,False,False,False
 1-й Рабфаковский пер. 5 , 1927,4,57, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/281663,30.472418,59.857057,3,False,True,True,False,False,False,False
 1-й Рабфаковский пер. 6 Литер Ф, 1934,5,86, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/281664,30.475121,59.858119,2,False,True,False,False,False,False,False
 1-й Рабфаковский пер. 7 , 1927,4,31, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/281665,30.473504,59.857667,2,False,True,False,False,False,False,False
 1-й Рабфаковский пер. 9к 1 Литер В, 1927,4,57, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/281667,30.474115,59.857066,3,False,True,True,False,False,False,False
 1-й Рабфаковский пер. 9к 2 , 1927,3,36, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/281666,30.473136,59.856447,3,False,True,True,False,False,False,False
 1-й Рабфаковский пер. 11 , 1932,5,50, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/281668,30.475283,59.857698,3,False,True,True,False,False,False,False
 ул. 1-я Алексеевская 3 , 2004,3,17, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1208814,30.294371,60.017031,0,False,False,False,False,False,False,False
 1-я линия васильевского острова 4 , 1873,4,70, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304544,30.292422,59.939514,1,True,False,False,False,False,False,False
 1-я линия васильевского острова 6 , 1917,3,10, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304545,30.292197,59.939794,1,True,False,False,False,False,False,False
 1-я линия васильевского острова 6 , 1917,4,10, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304546,30.29165,59.939712,1,True,False,False,False,False,False,False
 1-я линия васильевского острова 8 , 1917,2,11, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304547,30.292018,59.939956,1,True,False,False,False,False,False,False
 1-я линия васильевского острова 10 , 1917,4,25, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304549,30.291182,59.940028,1,True,False,False,False,False,False,False
 1-я линия васильевского острова 10 , 1917,3,6, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304550,30.291443,59.939947,1,True,False,False,False,False,False,False
 1-я линия васильевского острова 12 , 1850,2,13, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304551,30.29165,59.940285,1,True,False,False,False,False,False,False
 1-я линия васильевского острова 16 , 1917,4,8, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304553,30.290877,59.940488,2,True,False,False,False,False,False,False
 1-я линия васильевского острова 20 Литер В, 1808,2,8, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304555,30.289458,59.942155,2,True,False,False,False,False,False,False
 1-я линия васильевского острова 20 , 1780,3,7, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304557,30.289835,59.941862,2,True,False,False,False,False,False,False
 1-я линия васильевского острова 20 Литер Г, 1917,3,36, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304556,30.289026,59.941587,4,True,True,True,False,False,False,False
 1-я линия васильевского острова 22 , 1917,4,20, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304558,30.289134,59.94234,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 24 , 1917,4,45, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304559,30.288946,59.942502,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 26 , 1910,8,23, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1162082,30.288685,59.94271,2,True,False,True,False,False,False,False
 1-я линия васильевского острова 28 , 1917,3,16, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304560,30.288353,59.942985,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 32 Литер В, 1917,3,5, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304563,30.287329,59.943079,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 32 , 1917,2,14, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304562,30.287948,59.943453,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 32 , 1917,2,8, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304561,30.287418,59.943332,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 34 , 1917,3,21, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304564,30.287607,59.94376,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 36 , 1904,5,53, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304565,30.287068,59.944102,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 38 , 1898,6,10, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304568,30.286915,59.94435,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 38 , 1917,6,11, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304566,30.28643,59.944274,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 38 Литер В, 1917,3,5, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304567,30.286062,59.94412,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 40 , 1917,4,28, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304569,30.286709,59.944539,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 42 , 1917,6,26, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304570,30.286466,59.944729,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 42 , 1917,4,11, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304572,30.286466,59.944729,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 42 Литер В, 1917,5,8, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304571,30.285855,59.944643,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 44 , 1917,4,22, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1116095,30.286188,59.944977,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 46 , 1903,4,21, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/563616,30.285568,59.945508,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 48 , 1903,4,23, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/563617,30.285262,59.945734,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 50 , 1917,4,34, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/563618,30.284966,59.946004,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 54 , 1904,3,9, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/563620,30.283996,59.946833,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 54 , 1904,3,6, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/563621,30.283672,59.946667,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 54 Литер В, 1904,4,32, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/563619,30.283232,59.946622,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 56 , 1917,4,28, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/563622,30.283744,59.947045,3,True,False,True,False,False,False,False
 1-я линия васильевского острова 18/2 , 1917,5,32, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/304554,30.29094,59.940785,2,True,False,False,False,False,False,False
 ул. 1-я Красноармейская 2 , 1876,6,39, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/24594,30.317135,59.915928,1,False,True,False,False,False,False,False
 ул. 1-я Красноармейская 4 , 1876,5,51, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/24595,30.316272,59.915923,1,False,True,False,False,False,False,False
 ул. 1-я Красноармейская 12 , 1860,5,23, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/24598,30.313506,59.91586,2,False,False,True,False,True,False,False
 ул. 1-я Красноармейская 14 , 1917,5,39, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/24599,30.312913,59.915846,2,False,False,True,False,True,False,False
 ул. 1-я Красноармейская 16 , 1855,5,36, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/24600,30.312472,59.915833,2,False,False,True,False,True,False,False
 ул. 1-я Красноармейская 18 , 1879,4,15, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/24602,30.311916,59.915833,3,True,False,True,False,True,False,False
 ул. 1-я Красноармейская 18 , 1873,5,25, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/24601,30.311727,59.915612,3,True,False,True,False,True,False,False
 ул. 1-я Красноармейская 20 , 1822,4,9, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/24603,30.311466,59.915842,4,True,False,True,False,True,False,False
 ул. 1-я Красноармейская 22 , 1855,5,24, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/24604,30.310927,59.915828,4,True,False,True,False,True,False,False
 ул. 1-я Красноармейская 24 , 1860,5,6, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/24605,30.310317,59.915819,4,True,False,True,False,True,False,False
 ул. 1-я Красноармейская 24 , 1870,4,12, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/24606,30.31029,59.915413,5,True,False,True,False,True,False,False
 ул. 1-я Красноармейская 8-10 , 1826,5,29, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/24597,30.314646,59.915887,2,False,False,True,False,True,False,False
 ул. 1-я Красноармейская 8-10 , 1826,5,8, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/24596,30.314485,59.915711,2,False,False,True,False,True,False,False
 ул. 1-я Никитинская 18 , 2009,3,6, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1132001,30.292135,60.016244,0,False,False,False,False,False,False,False
 ул. 1-я Никитинская 18 , 2010,3,6, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1132002,30.292521,60.016469,0,False,False,False,False,False,False,False
 ул. 1-я Никитинская 24 , 2012,5,19, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/401053,30.291281,60.016874,0,False,False,False,False,False,False,False
 ул. 1-я Никитинская 30 , 2014,6,76, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1095159,30.28979,60.01745,0,False,False,False,False,False,False,False
